Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USDBTC,Bitcoin per United States Dollar,Exchange Rates - Market,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Daily From Jul 2010 To Apr 2024<BR>,,
Date,Ticker,Open,High,Low,Close
04/22/2023,USDBTC,27264.8,27872,27165.7,27813.9
04/23/2023,USDBTC,27813.8,27815,27388.5,27591.4
04/24/2023,USDBTC,27613,28000,26998,27522
04/25/2023,USDBTC,27522,28389,27224,28324
04/26/2023,USDBTC,28324,30028,27263,28433
04/27/2023,USDBTC,28424.5,29859.8,28392.4,29475.9
04/28/2023,USDBTC,29479,29589,28911,29338
04/29/2023,USDBTC,29318.4,29425.5,29058.5,29234.1
04/30/2023,USDBTC,29235.1,29941.3,29095,29252.1
05/01/2023,USDBTC,29255,29347,27700,28106
05/02/2023,USDBTC,28106,28888,27919,28679
05/03/2023,USDBTC,28679,29277,28161,29037
05/04/2023,USDBTC,29023.6,29352.7,28687.4,28842.1
05/05/2023,USDBTC,28842.2,29653.9,28825.3,29513.2
05/06/2023,USDBTC,29512.8,29816.4,28414.9,28857.1
05/07/2023,USDBTC,28857.1,29122,28419.6,28424.8
05/08/2023,USDBTC,28424.8,28627.8,27280.3,27670.5
05/09/2023,USDBTC,27670.5,27816,27366.3,27634.9
05/10/2023,USDBTC,27634.3,28311.7,26885.7,27603.3
05/11/2023,USDBTC,27604.3,27607.4,26766.2,26983.5
05/12/2023,USDBTC,26983.1,27044,25853.1,26799.2
05/13/2023,USDBTC,26798.7,27011.9,26695.6,26777.5
05/14/2023,USDBTC,26777.4,27176.1,26609.9,26920
05/15/2023,USDBTC,26920.4,27651.7,26752.1,27183.9
05/16/2023,USDBTC,27183.9,27295.3,26881.9,27035.3
05/17/2023,USDBTC,27035.5,27465.3,26597.7,27403.1
05/18/2023,USDBTC,27403.8,27467,26449.8,26828
05/19/2023,USDBTC,26828.2,27154.7,26711.3,26882.9
05/20/2023,USDBTC,26883,27147.2,26831.3,27116.2
05/21/2023,USDBTC,27116.2,27257.1,26677.6,26749.9
05/22/2023,USDBTC,26749.9,27048.9,26546.1,26847.3
05/23/2023,USDBTC,26851.6,27448.1,26804.1,27220.7
05/24/2023,USDBTC,27220.7,27220.7,26088.7,26328.4
05/25/2023,USDBTC,26327.1,26589.2,25892.5,26475.8
05/26/2023,USDBTC,26475.5,26911.6,26330,26711.5
05/27/2023,USDBTC,26711.2,26882.9,26591.2,26857.5
05/28/2023,USDBTC,26855.3,28181.9,26788.5,28071.2
05/29/2023,USDBTC,28068.4,28431.2,27548.8,27739.4
05/30/2023,USDBTC,27738.9,28033.6,27583.8,27698.2
05/31/2023,USDBTC,27696.9,27825,26865.1,27216.1
06/01/2023,USDBTC,27216.4,27340.9,26662.3,26819
06/02/2023,USDBTC,26819,27299.4,26541.3,27244.7
06/05/2023,USDBTC,27122.3,27125.5,25437.5,25747.4
06/06/2023,USDBTC,25730,27342,25392,27233
06/07/2023,USDBTC,27230.2,27342,26141,26342.5
